TCGA-BA-4074-01	TCGA-BA-4076-01	TCGA-BA-4077-01	TCGA-BA-4078-01	TCGA-BA-5149-01	TCGA-BA-5151-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5555-01	TCGA-BA-5556-01	TCGA-BA-5557-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6868-01	TCGA-BA-6869-01	TCGA-BA-6870-01	TCGA-BA-6871-01	TCGA-BA-6872-01	TCGA-BA-6873-01	TCGA-BA-7269-01	TCGA-BB-4217-01	TCGA-BB-4223-01	TCGA-BB-4224-01	TCGA-BB-4225-01	TCGA-BB-4228-01	TCGA-CN-4723-01	TCGA-CN-4725-01	TCGA-CN-4726-01	TCGA-CN-4727-01	TCGA-CN-4728-01	TCGA-CN-4729-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4733-01	TCGA-CN-4735-01	TCGA-CN-4736-01	TCGA-CN-4737-01	TCGA-CN-4738-01	TCGA-CN-4739-01	TCGA-CN-4740-01	TCGA-CN-4741-01	TCGA-CN-4742-01	TCGA-CN-5355-01	TCGA-CN-5356-01	TCGA-CN-5359-01	TCGA-CN-5360-01	TCGA-CN-5363-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5366-01	TCGA-CN-5367-01	TCGA-CN-5369-01	TCGA-CN-5370-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6010-01	TCGA-CN-6011-01	TCGA-CN-6012-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6018-01	TCGA-CN-6019-01	TCGA-CN-6020-01	TCGA-CN-6021-01	TCGA-CN-6022-01	TCGA-CN-6023-01	TCGA-CN-6024-01	TCGA-CN-6988-01	TCGA-CN-6989-01	TCGA-CN-6992-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-6997-01	TCGA-CN-6998-01	TCGA-CQ-5323-01	TCGA-CQ-5324-01	TCGA-CQ-5325-01	TCGA-CQ-5326-01	TCGA-CQ-5329-01	TCGA-CQ-5330-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6220-01	TCGA-CQ-6221-01	TCGA-CQ-6223-01	TCGA-CQ-6224-01	TCGA-CQ-6225-01	TCGA-CQ-6228-01	TCGA-CQ-6229-01	TCGA-CQ-7065-01	TCGA-CQ-7068-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5250-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6472-01	TCGA-CR-6473-01	TCGA-CR-6474-01	TCGA-CR-6477-01	TCGA-CR-6478-01	TCGA-CR-6481-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6491-01	TCGA-CR-6492-01	TCGA-CR-6493-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7368-01	TCGA-CR-7370-01	TCGA-CR-7371-01	TCGA-CR-7373-01	TCGA-CR-7374-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7382-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7388-01	TCGA-CR-7389-01	TCGA-CR-7390-01	TCGA-CR-7391-01	TCGA-CR-7394-01	TCGA-CR-7395-01	TCGA-CR-7397-01	TCGA-CR-7398-01	TCGA-CR-7399-01	TCGA-CR-7401-01	TCGA-CR-7402-01	TCGA-CR-7404-01	TCGA-CV-5430-01	TCGA-CV-5431-01	TCGA-CV-5432-01	TCGA-CV-5434-01	TCGA-CV-5435-01	TCGA-CV-5436-01	TCGA-CV-5439-01	TCGA-CV-5440-01	TCGA-CV-5441-01	TCGA-CV-5442-01	TCGA-CV-5444-01	TCGA-CV-5966-01	TCGA-CV-5970-01	TCGA-CV-5971-01	TCGA-CV-5973-01	TCGA-CV-5976-01	TCGA-CV-5977-01	TCGA-CV-5978-01	TCGA-CV-5979-01	TCGA-CV-6003-01	TCGA-CV-6436-01	TCGA-CV-6441-01	TCGA-CV-6933-11	TCGA-CV-6933-01	TCGA-CV-6934-11	TCGA-CV-6934-01	TCGA-CV-6935-11	TCGA-CV-6935-01	TCGA-CV-6936-11	TCGA-CV-6936-01	TCGA-CV-6937-01	TCGA-CV-6938-11	TCGA-CV-6938-01	TCGA-CV-6939-11	TCGA-CV-6940-01	TCGA-CV-6941-01	TCGA-CV-6942-01	TCGA-CV-6943-11	TCGA-CV-6943-01	TCGA-CV-6945-01	TCGA-CV-6948-01	TCGA-CV-6950-01	TCGA-CV-6951-01	TCGA-CV-6952-01	TCGA-CV-6953-01	TCGA-CV-6954-01	TCGA-CV-6955-11	TCGA-CV-6955-01	TCGA-CV-6956-11	TCGA-CV-6956-01	TCGA-CV-6959-11	TCGA-CV-6959-01	TCGA-CV-6960-11	TCGA-CV-6960-01	TCGA-CV-6961-11	TCGA-CV-6961-01	TCGA-CV-6962-11	TCGA-CV-6962-01	TCGA-CV-7089-01	TCGA-CV-7090-01	TCGA-CV-7091-11	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-11	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7101-11	TCGA-CV-7101-01	TCGA-CV-7102-01	TCGA-CV-7103-11	TCGA-CV-7103-01	TCGA-CV-7104-01	TCGA-CV-7177-11	TCGA-CV-7177-01	TCGA-CV-7178-11	TCGA-CV-7178-01	TCGA-CV-7180-01	TCGA-CV-7183-11	TCGA-CV-7183-01	TCGA-CV-7235-11	TCGA-CV-7235-01	TCGA-CV-7236-01	TCGA-CV-7238-11	TCGA-CV-7238-01	TCGA-CV-7242-11	TCGA-CV-7242-01	TCGA-CV-7243-01	TCGA-CV-7245-11	TCGA-CV-7245-01	TCGA-CV-7247-01	TCGA-CV-7248-01	TCGA-CV-7250-11	TCGA-CV-7250-01	TCGA-CV-7252-11	TCGA-CV-7252-01	TCGA-CV-7253-01	TCGA-CV-7254-01	TCGA-CV-7255-11	TCGA-CV-7255-01	TCGA-CV-7261-11	TCGA-CV-7261-01	TCGA-CV-7263-01	TCGA-CV-7406-11	TCGA-CV-7406-01	TCGA-CV-7407-01	TCGA-CV-7410-01	TCGA-CV-7411-01	TCGA-CV-7413-01	TCGA-CV-7414-01	TCGA-CV-7415-01	TCGA-CV-7416-11	TCGA-CV-7416-01	TCGA-CV-7418-01	TCGA-CV-7422-01	TCGA-CV-7423-11	TCGA-CV-7423-01	TCGA-CV-7424-11	TCGA-CV-7424-01	TCGA-CV-7425-11	TCGA-CV-7427-01	TCGA-CV-7429-01	TCGA-CV-7430-01	TCGA-CV-7432-11	TCGA-CV-7432-01	TCGA-CV-7433-01	TCGA-CV-7434-11	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-7437-11	TCGA-CV-7437-01	TCGA-CV-7438-11	TCGA-CV-7438-01	TCGA-CV-7440-11	TCGA-CV-7440-01	TCGA-CX-7082-01	TCGA-CX-7085-01	TCGA-CX-7086-01	TCGA-CX-7219-01	TCGA-D6-6515-01	TCGA-D6-6516-01	TCGA-D6-6517-01	TCGA-D6-6823-01	TCGA-D6-6824-01	TCGA-D6-6825-01	TCGA-D6-6826-01	TCGA-DQ-5624-01	TCGA-DQ-5625-01	TCGA-DQ-5629-01	TCGA-DQ-5631-01	TCGA-DQ-7588-01	TCGA-DQ-7591-01	TCGA-DQ-7592-01	TCGA-F7-7848-01	TCGA-H7-7774-01	TCGA-H7-A6C4-11	TCGA-H7-A6C5-11	TCGA-HD-7229-01	TCGA-HD-7753-01	TCGA-HD-7754-01	TCGA-HD-8635-11	TCGA-HD-A6HZ-11	TCGA-HD-A6I0-11	TCGA-IQ-7630-01	TCGA-IQ-7631-01	TCGA-IQ-7632-01	TCGA-WA-A7GZ-11
PCDHA12	0	0	4.36	0	0	0	4.92	0	5.95	0	0	0	1	0	2	0	0	0	0	8.23	1	13.6	0	0	1	6.02	0	0	1	56.65	0	0	1	1	0	6.65	21.18	0	2.29	3	0	0	2.02	17.85	1	6	2.18	0	0	1	0	4.35	0	0	1	15	5.42	1.94	0	0	0	27.13	1	0	0	46.37	0	0	18.25	1	5	0	2.46	0	0	0	0	2.14	0	1	0	0	2	8.58	1	2.54	0	7.1	0	2.29	0	0	0	0	5.1	0	0	4.49	2.29	1	0	1.98	0	0	2.44	5	0	0	13	0	0	0	2	4.36	0	6.71	0	7.92	7	2.36	0	1	0	0	0	2.88	0	11	0	2	1	0	0	128.09	0	0	6	0	46.61	0	2.57	6.58	0	0	0	2.38	0	0	2.16	0	0	21.17	0	0	0	0	0	0	0	0	351.33	0	16.33	0	1	1	2	0	0	7	0	85.29	0	0	4	4.22	0	0	5.65	28.69	4.84	0	0	0	107.67	0	0	4.75	0	5.68	0	8.74	0	4.24	6.2	25.75	0	0	30.23	0	0	47.99	0	2.1	0	22.66	11.54	0	1	0	0	0	0	34.51	2	0	2.1	0	81.36	0	13.97	75.9	0	0	2.3	5.59	1	0	1	4.96	0	0	1.31	0	0	9.03	15.18	2.14	4.07	1	4.4	14.2	2	0	5.29	2.08	0	10.8	0	1	0	141.52	4.73	1	1.52	6	30.71	0	0	0	16	295.91	0	29.93	359.61	0	6	6.17	93.23	1	1	4.3	0	0	2	0	0	0	0	0	4	25.63	0	10.37	3	0	24.17	0	0	0	6.68	5	0	1	5.5	3	0	0	2.41	0	0	0	0	57.52	3.37
PCDHA13	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15	0	0	0	0	0	0	4.72	4	2.8	0	1	3	0	0	0	18.02	1	2.82	3.23	0	0	0	0	1.99	0	1.95	0	0	2.08	0	0	6.33	2.24	0	0	0	0	4.46	2.33	0	1	0	0	2.96	0	1	0	2.32	2.55	0	1	8.39	0	0	0	1	6.02	0	0	0	0	0	2.26	0	0	3	0	0	0	0	0	0	0	2.34	0	0	0	0	0	0	0	2.34	2.74	2.32	0	0	0	0	0	0	5.05	2.07	0	1	4.23	0	0	3	2.05	1	6.26	0	0	3	0	24.39	0	0	2	0	0	2.99	6.43	1.86	0	0	0	0	0	0	0	0	0	0	19.43	0	0	0	0	0	0	0	0	0	2.05	0	0	2	5	0	0	0	0	0	0	0	47.18	2.53	22.94	4	0	0	2.44	0	0	0	0	48.14	0	0	0	0	0	0	2.78	0	1	0	0	0	18.44	0	0	0	0	0	0	0	0	2.16	8.88	6.57	0	0	5.77	0	0	45.52	1	0	0	4.67	2	0	0	4.93	0	0	0	20.35	0	0	0	0	27.75	0	11.63	20.78	0	0	7.07	0	0	0	4.33	55.79	0	0	0	0	1	6.94	4	0	1	0	0	0	0	0	17.5	0	0	0	0	0	0	155.62	2	0	1	6.82	14.83	0	0	1	0	36.94	0	38.77	178.08	0	0	0	23.32	5	0	0	0	0	3.81	0	0	0	0	1	0	14.24	0	4.01	0	2.09	0	0	0	0	0	1	0	0	10.5	1	0	0	0	0	0	0	3.4	15.02	2
PDIA2	1063.44	1.35	16	12.98	7	3	0	16	12	0	6	11	3	5	187.11	12	6.75	2.78	1	92.44	16	5	8	42	15	11	7	12	55.63	11	13.23	1127.6	2404.24	5	28	3	6	3	20	61.55	10	5.46	34.2	205	3	26	5	21.14	7	3	3	7	54	7	4	15	0	3	5	4	3	2.8	4	3	10	0	2	122	1	19	0	7	17.18	4.14	2	2	1	6	8	3	1	0	3	6	5	33	3	9.3	473.91	120.88	17	16	2	2	239.3	2	20	16	1.16	1	0	5	23	0	7	51	15	4	4	3	398.77	0	5	9	26	8	1	83.22	7.06	19	13	3	0	1	0	4	30	3	47	0	0	0	6	190.94	47	7	215.12	12	13	32	11	7	0	21	2	7	149.52	0	0	2	3	1	4	0	12	1	13	15	0	21	9	18	11	11	1.01	2.28	1	7	12	8	2	6	2	986.61	4.29	0	9	8	59.98	8	9	0	0	765.8	3	0	2	907.54	2	7	0	20572.07	1.8	78.47	4	1.07	4	4	4	637.7	47	4	1	2	12	4	10	0	2	21	2	3	0	13.72	15	6	2	2	2	3	3	131.26	6	4.26	478.34	22.87	2	165	10	72.34	4	13	3	26.69	2315.06	1	0	40	3	1	358.53	5.47	12	2.22	1	0	15	0	23.25	0	1	9	5	1.32	1	2.38	1	0	0	2	1	2	3	2.88	6.57	1	227.13	0	0	4	3.2	2.53	753.09	65	51.62	33	1	4	1	0	1686.46	9	2	0	12	1	1.47	39	2	3	42	11	0	5.29	5	2	19	2	3	6	6	4	71.4	11	12.73
REG1A	18	0	0	25	0	0	0	0	0	0	0	0	0	1	66	14	4	1	1	0	0	0	1	1	0	0	0	0	0	5	0	7	0	3	3	0	0	1	1	60	0	0	0	0	0	15	0	0	2	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	4	1	0	32	49	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	75	16	0	41	0	0	2	0	0	0	0	0	35	0	0	0	0	0	0	15	0	0	12	0	0	3	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	18	0	0	0	1	1	16	0	1	0	1	1	1	1	0	0	2	0	0	0	19	122	1	1	0	0	0	0	0	0	2	0	0	0	5	0	308	6	94	0	0	1	0	0	0	0	0	0	0	0	1	1	23	0	0	0	0	0	0	0	0	0	0	1	0	1	0	15	0	0	4	2	3	0	65	0	0	0	84	0	0	0	0	3	1	10	0	1	0	0	49	0	0	1	18	0	0	0	0	10	0	0	5	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	1	0	4	4	7	4	7	0	0	28	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	8	1	0
REG3A	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	6	0	0	0	0	3	26	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	5	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0
ROPN1B	1	7	36	156	0	1	0	1	1	1	3	0	4	19	11	0	0	13	3	25	4	20	17	1	1	9	5	9	0	39	12	7	1	5	14	4	0	17	4	0	109	2	5	2	0	32	0	1	0	0	1	4	1	1	12	23	0	19	5	8	1	9	1	11	1	14	10	1	28	10	0	0	2	0	9	3	1	2	0	0	0	14	0	10	0	27	0	2	3	15	0	0	1	6	1	8	5	10	2	6	2	6	2	1	1	1	0	4	17	0	9	2	0	4	34	24	2	8	3	3	2	3	0	3	6	3	4	4	9	4	0	0	12	0	7	0	10	31	6	0	3	1	2	1	1	1	0	0	12	0	0	0	5	30	0	3	2	1	1	25	171	4	352	10	7	67	12	2	85	251	4	42	1	0	12	1	0	8	6	1	3	7	1	1	55	0	0	0	2	0	0	6	5	48	16	4	0	0	3	0	4	152	1	6	0	88	16	2	18	97	2	19	0	176	1	0	7	5	212	0	4	50	14	6	38	0	1	2	0	26	2	1	5	1	0	10	18	1	4	7	0	11	121	1	2	3	6	33	21	6	2	7	0	1	8	35	28	2	0	0	5	184	0	4	518	4	2	23	0	2	2	118	0	4	0	0	11	0	0	5	5	78	0	3	6	2	14	6	6	4	4	8	2	2	216	3	0	181	0	5	0	0	5	5	1
SAA1	2525	1093	331	119	1261	6019	22565	164	1007	8084	286	1276	2071	5777	5277	1035	669	1087	781	703	473	66	15	1840	146	508	106	100	680	231	603	119	1955	3998	403	1488	321	3194	1746	2294	3496	1068	424	146	1476	1234	585	1337	1397	667	920	5238	13749	1032	171	1940	414	2598	3673	991	2242	2428	2677	1386	13084	98	174	1090	456	52	377	29759	438	302	1127	340	2215	2069	5985	1375	631	41	5039	1688	6621	80	5466	2670	386	82	1173	76	4973	266	233	8	120	1547	810	68	206	580	78	4593	112	8044	217	128	10915	386	1266	305	415	1144	600	969	925	124	3654	323	664	217	1780	203	59	2278	616	2514	1031	451	288	167	125	18	969	125	1256	126	655	4694	1553	191	46	351	5739	3493	172	153	2380	14373	1155	14348	2065	755	537	39	125	1530	2269	2365	2448	834	7183	567	767	59	3242	2195	16863	14937	5298	6832	828	110	421	69	3252	1382	21	328	201	1845	26	795	5290	4059	8179	769	4607	3723	26	8386	355	1318	223	51	212	238	479	475	366	18157	4211	1318	794	1831	1105	226	100	26	5002	350	168	5451	545	1093	11	46	158852	862	2437	1878	6306	96	2504	166	980	670	6909	817	597	474	379	1690	246	2191	2721	3676	159	619	285	1214	793	609	3016	890	1499	62	765	421	1200	92	244	2217	86	398	87	132	4114	198	1970	58396	399	6353	65290	636	191	311	56	903	5929	1870	582	264	1316	2455	3784	4864	246	3849	721	4891	217	4575	1722	352	601	4905	262	165	254	1016	334	243	29964	484	533	2441	518	387	3557	7699	364	1076	8
SEC14L3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	8	0	7	8	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	237	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	25	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
SEPT14	2	0	0	0	0	0	0	2	7	0	0	0	3	0	1	0	3	4	0	0	3	3	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	6	1	0	0	0	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	18	1	3	0	0	0	0	0	0	0	0	0	0	0	122	0
SSX4	5	2	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	203	0	1	4	0	0	0	1	0	2	0	1	0	0	0	0	0	0	12	0	1	1	0	0	1	0	0	1	0	1	0	0	0	5	1	2	5	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	73	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	1	15	0	0	2	0	0	0	1	0	0	0	0	45	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	1	2	0	0	0	0	0	0	1	0	0	0	0	18	0	4	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	20	0	0	0	0	0	0	26	0	138	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	1	1	0	1	0	0	4	0	165	0	0	0	38	2	2	0	2	0	0	0	1	0	1	0	2	0	1	0	0	3	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	1	418	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
TAAR1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	3	0	0	0	10	1	0	1	2	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	2	0	0	11	1	0	0	0	0	0	0	0	0	0
TDGF1	5	0	1	5	1	9	2	1	4	5	0	0	4	0	2	3	65	0	0	0	3	2	0	2	2	2	1	0	0	2	1	1	0	12	3	0	11	2	1	9	5	0	1	4	3	16	0	6	1	2	0	10	2	2	2	3	0	6	2	2	7	10	0	1	9	9	1	2	1	8	0	6	2	0	0	0	0	0	2	13	0	0	1	1	1	1	0	1	1	0	0	0	3	0	0	3	8	11	0	1	0	5	1	0	4	1	2	0	1	0	0	3	7	3	0	10	0	2	3	4	0	1	4	12	0	8	0	3	0	3	1	0	0	0	2	2	4	3	2	1	0	1	2	1	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0	2	106	0	2	10	4	0	1	0	0	6	0	5	0	0	15	1	4	0	0	1	0	2	1	0	2	2	0	0	0	1	0	0	0	0	3	2	1	0	31	1	0	28	0	1	1	2	1	17	0	2	0	2	0	7	0	1	0	0	12	0	1	0	0	3	4	0	2	0	1	2	10	3	1	0	0	12	23	2	1	3	15	1	0	4	12	2	3	4	0	0	0	1	5	1	3	1	2	0	2	2	0	34	0	6	29	0	1	2	1	0	0	3	0	0	11	0	1	2	2	2	2	17	1	6	0	6	1	4	0	0	0	10	1	2	17	0	1	1	0	1	2	0	0	0	13
ZFP92	8	13	15	35	7	16	2	9	1	6	25	77	11	61	15	11	26	24	3	0	7	20	0	2	15	39	6	6	1	25	32	12	9	17	35	15	13	7	2	31	9	32	33	17	35	21	12	10	12	12	4	5	11	18	1	46	46	29	4	24	28	11	11	13	37	137	25	1	41	58	18	6	29	3	9	2	5	90	6	5	8	26	19	12	1	9	21	21	5	6	5	4	1	32	9	7	31	10	12	5	4	46	44	11	4	13	7	10	10	2	8	13	40	10	36	24	6	26	37	29	27	5	30	12	0	15	30	23	36	43	9	7	36	14	2	11	31	1	25	9	6	26	25	21	2	5	12	1	18	2	9	6	1	4	1	8	2	0	0	0	1	13	1	22	2	9	6	77	3	2	9	0	14	28	1	1	16	5	5	60	3	1	2	3	16	1	4	11	2	4	1	22	1	44	0	7	11	6	0	7	4	3	5	1	15	1	31	14	0	22	10	1	6	1	45	2	0	7	14	75	84	3	35	0	5	4	0	25	3	41	3	25	1	2	3	10	3	3	1	18	13	1	3	21	10	9	1	2	5	2	5	34	6	0	12	1	7	0	6	20	36	2	2	14	7	46	23	2	15	5	17	3	46	3	21	36	34	34	73	90	23	10	33	21	28	3	14	18	7	10	6	5	0	1	0	31	28	18	2	0	0	3	9	5	5
ZP2	10	1	0	4	1	1	2	1	0	1	3	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	12	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	2	0	0	2	0	7	1	0	5	0	2	0	1	0	0	0	0	0	0	16	1	0	0	0	0	1	0	1	7	2	2	0	0	1	2	0	3	4	1	1	6	3	0	4	0	0	0	3	1	0	1	0	0	4	1	0	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	52	2	2	1	0	1	1	0	0	0	0	1	0	2	2	16	1	0	0	0	0	0	0	0	5	0	31	0	0	1	0	0	6	0	0	0	1	0	5	0	0	7	0	0	1	0	0	0	6	0	0	0	0	2	0	1	0	0	6	2	0	26	0	1	3	5	0	0	0	1	0	0	10	2	0	0	0	5	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	3	2	1	0	4	2	0	0	252	0	4	139	0	0	0	0	0	0	0	0	0	2	1	4	0	0	3	1	7	4	15	0	4	0	24	0	1	0	0	0	0	1	0	1	0	5	4	0	1	0	0	0
